Number,Movie,Genre,Date,UserScore,MetaScore,CertRating,Director
20.,North by Northwest,"Action,                                                                                                    Adventure,                                                                                                    Mystery,                                                                                                    Thriller ","August 6, 1959",8.0,98,TV-G,Alfred Hitchcock
21.,Hoop Dreams,"Drama,                                                                                                    Sport,                                                                                                    Documentary ","October 14, 1994",8.0,98,PG-13,Steve James
22.,Rashomon,"Drama,                                                                                                    Mystery,                                                                                                    Crime ","December 26, 1951",8.5,98,Not Rated,Akira Kurosawa
23.,All About Eve,Drama ,"October 27, 1950",8.7,98,TV-PG,Joseph L. Mankiewicz
24.,Jules and Jim,"Drama,                                                                                                    Romance ","April 23, 1962",6.5,97,Not Rated,François Truffaut
25.,The Wild Bunch,"Action,                                                                                                    Adventure,                                                                                                    Western ","June 18, 1969",7.5,97,R,Sam Peckinpah
26.,My Left Foot,"Biography,                                                                                                    Drama ","November 10, 1989",8.3,97,R,Jim Sheridan
27.,The Third Man,"Mystery,                                                                                                    Thriller,                                                                                                    Film-Noir ","September 3, 1949",8.4,97,Approved,Carol Reed
28.,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Thriller,                                                                                                    Comedy ","January 29, 1964",8.4,97,GP,Stanley Kubrick
29.,"Quo Vadis, Aida?","Drama,                                                                                                    History,                                                                                                    War ","March 5, 2021",8.0,97,Approved,Jasmila Zbanic
30.,Psycho,"Mystery,                                                                                                    Thriller,                                                                                                    Horror ","September 8, 1960",8.8,97,M,Alfred Hitchcock
31.,Gone with the Wind,"Drama,                                                                                                    History,                                                                                                    Romance,                                                                                                    War ","January 17, 1940",8.3,97,TV-PG,George Cukor
32.,"4 Months, 3 Weeks and 2 Days",Drama ,"January 23, 2008",7.9,97,Not Rated,Cristian Mungiu
33.,Battleship Potemkin,"Drama,                                                                                                    History,                                                                                                    Thriller,                                                                                                    War ","December 5, 1926",8.4,97,Not Rated,Sergei M. Eisenstein
34.,A Streetcar Named Desire,Drama ,"September 19, 1951",8.2,97,M/PG,Elia Kazan
35.,The Maltese Falcon,"Mystery,                                                                                                    Film-Noir ","October 18, 1941",7.9,97,TV-PG,John Huston
36.,American Graffiti,"Drama,                                                                                                    Comedy ","August 11, 1973",7.4,97,PG,George Lucas
37.,Dumbo,"Drama,                                                                                                    Animation,                                                                                                    Family,                                                                                                    Musical ","October 31, 1941",7.7,96,Approved,Ben Sharpsteen
38.,Roma,Drama ,"November 21, 2018",7.6,96,Not Rated,Alfonso Cuarón
39.,Parasite,"Drama,                                                                                                    Thriller,                                                                                                    Comedy ","October 11, 2019",8.7,96,Not Rated,Joon-ho Bong
40.,Ran,"Action,                                                                                                    Drama,                                                                                                    War ","December 20, 1985",8.4,96,R,Akira Kurosawa
41.,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",Documentary ,"July 2, 2021",7.1,96,Not Rated,Ahmir-Khalib Thompson
42.,The Shop Around the Corner,"Drama,                                                                                                    Comedy,                                                                                                    Romance ","January 12, 1940",7.1,96,Passed,Ernst Lubitsch
43.,12 Angry Men,"Drama,                                                                                                    Crime ","April 1, 1957",8.8,96,TV-PG,Sidney Lumet
44.,Rosemary's Baby,"Drama,                                                                                                    Horror ","June 12, 1968",8.3,96,Approved,Roman Polanski
45.,12 Years a Slave,"Biography,                                                                                                    Drama,                                                                                                    History ","October 18, 2013",8.0,96,R,Steve McQueen
46.,Manchester by the Sea,Drama ,"November 18, 2016",8.2,96,R,Kenneth Lonergan
47.,Killer of Sheep,Drama ,"March 30, 2007",6.8,96,Not Rated,Charles Burnett
48.,Nashville,"Drama,                                                                                                    Comedy,                                                                                                    Music ","June 11, 1975",8.0,96,R,Robert Altman
49.,Ratatouille,"Fantasy,                                                                                                    Comedy,                                                                                                    Animation,                                                                                                    Family ","June 29, 2007",8.6,96,G,Brad Bird
50.,The Grapes of Wrath,"Drama,                                                                                                    History ","March 15, 1940",8.5,96,Approved,John Ford
51.,Children of Paradise (1945),"Drama,                                                                                                    Romance ","March 9, 2012",7.7,96,Not Rated,Marcel Carné
52.,Mean Streets,"Drama,                                                                                                    Thriller,                                                                                                    Crime ","October 14, 1973",7.3,96,R,Martin Scorsese
53.,Sansho the Bailiff,Drama ,"January 1, 1955",6.3,96,Not Rated,Kenji Mizoguchi
54.,The Lady Eve,"Comedy,                                                                                                    Romance ","March 21, 1941",6.7,96,Passed,Preston Sturges
55.,Gravity,"Sci-Fi,                                                                                                    Drama,                                                                                                    Mystery,                                                                                                    Thriller ","October 4, 2013",7.8,96,PG-13,Alfonso Cuarón
56.,Fantasia,"Fantasy,                                                                                                    Music,                                                                                                    Animation,                                                                                                    Family ","November 13, 1940",8.3,96,Approved,Ben Sharpsteen
57.,Spirited Away,"Adventure,                                                                                                    Fantasy,                                                                                                    Animation,                                                                                                    Family ","September 20, 2002",8.9,96,PG,Hayao Miyazaki
58.,Beauty and the Beast,"Fantasy,                                                                                                    Romance,                                                                                                    Animation,                                                                                                    Family,                                                                                                    Musical ","November 22, 1991",8.3,95,G,Gary Trousdale
59.,Small Axe: Lovers Rock,Drama ,"November 27, 2020",,95,Not Rated,Steve McQueen
60.,Toy Story,"Adventure,                                                                                                    Fantasy,                                                                                                    Comedy,                                                                                                    Animation,                                                                                                    Family ","November 22, 1995",8.8,95,TV-G,John Lasseter
61.,The Bride of Frankenstein,"Sci-Fi,                                                                                                    Drama,                                                                                                    Horror ","May 6, 1935",7.8,95,TV-PG,James Whale
62.,Don't Look Now,"Drama,                                                                                                    Thriller,                                                                                                    Horror ","December 9, 1973",6.8,95,R,Nicolas Roeg
63.,Aftersun,Drama ,"October 21, 2022",8.0,95,Not Rated,Charlotte Wells
64.,The Social Network,"Biography,                                                                                                    Drama,                                                                                                    History,                                                                                                    Comedy ","October 1, 2010",8.2,95,PG-13,David Fincher
65.,My Fair Lady,"Drama,                                                                                                    Romance,                                                                                                    Family,                                                                                                    Musical ","December 25, 1964",7.4,95,G,George Cukor
66.,Portrait of a Lady on Fire,"Drama,                                                                                                    History,                                                                                                    Romance ","December 6, 2019",8.6,95,R,Céline Sciamma
67.,I Am Not Your Negro,Documentary ,"December 9, 2016",,95,PG-13,Raoul Peck
68.,Woodstock,"History,                                                                                                    Music,                                                                                                    Documentary ","March 26, 1970",,95,R,Michael Wadleigh
69.,Rocks,Drama ,"February 1, 2021",6.5,95,TV-MA,Sarah Gavron
70.,Snow White and the Seven Dwarfs,"Fantasy,                                                                                                    Romance,                                                                                                    Animation,                                                                                                    Family,                                                                                                    Musical ","February 4, 1938",8.2,95,G,Ben Sharpsteen
71.,Amour,"Drama,                                                                                                    Romance ","December 19, 2012",8.0,95,PG-13,Michael Haneke
72.,The Hurt Locker,"Action,                                                                                                    Drama,                                                                                                    Thriller,                                                                                                    War ","June 26, 2009",7.3,95,R,Kathryn Bigelow
73.,Anatomy of a Murder,"Drama,                                                                                                    Mystery,                                                                                                    Thriller,                                                                                                    Crime ","July 1, 1959",8.1,95,TV-PG,Otto Preminger
74.,Zero Dark Thirty,"Action,                                                                                                    Drama,                                                                                                    History,                                                                                                    Thriller ","December 19, 2012",6.9,95,R,Kathryn Bigelow
75.,Collective,Documentary ,"November 20, 2020",7.8,95,Not Rated,Alexander Nanau
76.,A Separation,Drama ,"December 30, 2011",8.8,95,PG-13,Asghar Farhadi
77.,Double Indemnity,"Drama,                                                                                                    Mystery,                                                                                                    Thriller,                                                                                                    Crime,                                                                                                    Film-Noir ","July 6, 1944",8.5,95,Passed,Billy Wilder
78.,WALL-E,"Adventure,                                                                                                    Sci-Fi,                                                                                                    Romance,                                                                                                    Animation,                                                                                                    Family ","June 27, 2008",8.8,95,G,Andrew Stanton
79.,Carol,"Drama,                                                                                                    Romance ","November 20, 2015",8.0,94,R,Todd Haynes
80.,Before Midnight,"Drama,                                                                                                    Romance ","May 24, 2013",8.3,94,R,Richard Linklater
81.,Dunkirk,"Action,                                                                                                    Drama,                                                                                                    History,                                                                                                    Thriller,                                                                                                    War ","July 21, 2017",8.3,94,PG-13,Christopher Nolan
82.,The Man Who Shot Liberty Valance,"Drama,                                                                                                    Western ","April 22, 1962",8.6,94,Approved,John Ford
83.,The Searchers,"Adventure,                                                                                                    Drama,                                                                                                    Western ","May 26, 1956",7.4,94,Passed,John Ford
84.,45 Years,"Drama,                                                                                                    Romance ","December 23, 2015",7.3,94,Not Rated,Andrew Haigh
85.,Taxi Driver,"Drama,                                                                                                    Thriller,                                                                                                    Crime ","February 7, 1976",7.7,94,R,Martin Scorsese
86.,The Servant,Drama ,"March 16, 1964",7.5,94,Unrated,Joseph Losey
87.,Pulp Fiction,"Drama,                                                                                                    Thriller,                                                                                                    Crime ","October 14, 1994",9.0,94,R,Quentin Tarantino
88.,The Manchurian Candidate,"Drama,                                                                                                    Mystery,                                                                                                    Thriller ","October 24, 1962",8.1,94,Approved,John Frankenheimer
89.,Mr. Turner,"Biography,                                                                                                    Drama,                                                                                                    History ","December 19, 2014",6.9,94,R,Mike Leigh
90.,The Irishman,"Biography,                                                                                                    Drama,                                                                                                    History,                                                                                                    Thriller,                                                                                                    Crime ","November 1, 2019",8.1,94,R,Martin Scorsese
91.,Amazing Grace,Documentary ,"November 23, 2018",8.1,94,,Alan Elliott
92.,Grave of the Fireflies (1988),"Drama,                                                                                                    War,                                                                                                    Animation ","July 26, 1989",8.9,94,TV-14,Isao Takahata
93.,The Wild Child,Drama ,"September 11, 1970",6.5,94,G,François Truffaut
94.,Shadow of a Doubt,Thriller ,"January 15, 1943",8.2,94,TV-PG,Alfred Hitchcock
95.,Inside Out,"Adventure,                                                                                                    Drama,                                                                                                    Fantasy,                                                                                                    Comedy,                                                                                                    Animation,                                                                                                    Family ","June 19, 2015",8.7,94,PG,Pete Docter
96.,Sideways,"Drama,                                                                                                    Comedy,                                                                                                    Romance ","October 22, 2004",7.0,94,R,Alexander Payne
97.,Schindler's List,"Biography,                                                                                                    Drama,                                                                                                    History,                                                                                                    War ","December 15, 1993",8.8,94,R,Steven Spielberg
98.,Meet Me in St. Louis,"Drama,                                                                                                    Comedy,                                                                                                    Romance,                                                                                                    Music,                                                                                                    Family ","January 1, 1945",6.7,94,Passed,Vincente Minnelli
99.,The Apartment,"Drama,                                                                                                    Comedy,                                                                                                    Romance ","June 15, 1960",7.9,94,TV-PG,Billy Wilder
100.,Apocalypse Now,"Action,                                                                                                    Drama,                                                                                                    War ","August 15, 1979",8.7,94,R,Francis Ford Coppola
101.,The Gunfighter,Western ,"June 23, 1950",6.8,94,TV-PG,Henry King
102.,We Were Here,Documentary ,"September 9, 2011",6.6,94,Not Rated,Bill Weber
103.,Faces Places,Documentary ,"October 6, 2017",6.9,94,Not Rated,Agnès Varda
104.,Chimes at Midnight,"Drama,                                                                                                    History,                                                                                                    Comedy,                                                                                                    War ","March 17, 1967",,94,Not Rated,Orson Welles
105.,The Lord of the Rings: The Return of the King,"Action,                                                                                                    Adventure,                                                                                                    Fantasy ","December 17, 2003",8.8,94,PG-13,Peter Jackson
106.,Call Me by Your Name,"Drama,                                                                                                    Romance ","November 24, 2017",8.0,94,R,Luca Guadagnino
107.,Carlos,"Biography,                                                                                                    Drama,                                                                                                    History,                                                                                                    Thriller,                                                                                                    Crime ","October 15, 2010",7.9,94,Not Rated,Olivier Assayas
108.,Marriage Story,"Drama,                                                                                                    Comedy,                                                                                                    Romance ","November 6, 2019",8.1,94,R,Noah Baumbach
109.,The French Connection,"Action,                                                                                                    Drama,                                                                                                    Thriller,                                                                                                    Crime ","October 7, 1971",8.4,94,R,William Friedkin
110.,La La Land,"Drama,                                                                                                    Comedy,                                                                                                    Romance,                                                                                                    Musical ","December 9, 2016",8.4,94,PG-13,Damien Chazelle
111.,"Crouching Tiger, Hidden Dragon","Action,                                                                                                    Adventure,                                                                                                    Drama,                                                                                                    Fantasy,                                                                                                    Romance ","December 8, 2000",8.2,94,PG-13,Ang Lee
112.,"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",Drama ,"October 4, 1978",,94,Not Rated,Chantal Akerman
113.,Petite Maman,Drama ,"December 3, 2021",7.7,93,Not Rated,Céline Sciamma
114.,The Magnificent Ambersons,"Drama,                                                                                                    Romance ","July 10, 1942",8.6,93,TV-PG,Fred Fleck
115.,Reversal of Fortune,"Drama,                                                                                                    Mystery ","October 17, 1990",8.1,93,R,Barbet Schroeder
116.,David Byrne’s American Utopia,"Music,                                                                                                    Musical,                                                                                                    Documentary ","October 17, 2020",7.4,93,Not Rated,Spike Lee
117.,Lady Bird,"Drama,                                                                                                    Comedy ","November 3, 2017",7.6,93,R,Greta Gerwig
118.,Saint Omer,Drama ,TBA,,93,Not Rated,Alice Diop
119.,Shoplifters,"Drama,                                                                                                    Crime ","November 23, 2018",8.4,93,Not Rated,Hirokazu Koreeda
120.,Shoah: Four Sisters,"History,                                                                                                    Documentary ","November 14, 2018",,93,Not Rated,Claude Lanzmann
121.,The 39 Steps,"Mystery,                                                                                                    Thriller,                                                                                                    Film-Noir ","August 1, 1935",8.0,93,TV-G,Alfred Hitchcock
122.,Duck Soup,"Comedy,                                                                                                    War,                                                                                                    Musical ","November 17, 1933",7.9,93,Passed,Leo McCarey
123.,Days of Heaven,"Drama,                                                                                                    Romance ","September 13, 1978",8.4,93,PG,Terrence Malick
124.,Toni Erdmann,"Drama,                                                                                                    Comedy ","December 25, 2016",7.0,93,R,Maren Ade
125.,Yi Yi,"Drama,                                                                                                    Romance,                                                                                                    Music ","October 6, 2000",8.4,93,Not Rated,Edward Yang
126.,McCabe & Mrs. Miller,"Drama,                                                                                                    Western ","June 24, 1971",8.0,93,R,Robert Altman
127.,Inside Llewyn Davis,"Drama,                                                                                                    Music ","December 6, 2013",7.8,93,R,Ethan Coen
128.,The Best Years of Our Lives,"Drama,                                                                                                    Romance,                                                                                                    War ","December 25, 1946",8.5,93,Passed,William Wyler
129.,Stagecoach,"Adventure,                                                                                                    Drama,                                                                                                    Western ","March 3, 1939",7.6,93,TV-G,John Ford
130.,Sherpa,Documentary ,"October 2, 2015",7.6,93,Not Rated,Jennifer Peedom
131.,There Will Be Blood,"Drama,                                                                                                    Thriller ","December 26, 2007",8.1,93,R,Paul Thomas Anderson
132.,Badlands,"Drama,                                                                                                    Crime ","October 15, 1973",8.4,93,PG,Terrence Malick
133.,The Last Picture Show,Drama ,"October 22, 1971",8.3,93,R,Peter Bogdanovich
134.,Do the Right Thing,"Drama,                                                                                                    Comedy ","June 30, 1989",8.2,93,R,Spike Lee
135.,Sita Sings the Blues,"Fantasy,                                                                                                    Comedy,                                                                                                    Romance,                                                                                                    Animation,                                                                                                    Musical ","December 25, 2009",7.2,93,Not Rated,Nina Paley
136.,The Decline of Western Civilization,"History,                                                                                                    Music,                                                                                                    Documentary ","July 5, 1981",7.0,93,Not Rated,Penelope Spheeris
137.,Yojimbo,"Action,                                                                                                    Drama,                                                                                                    Thriller ","September 13, 1961",7.8,93,TV-MA,Akira Kurosawa
138.,Rio Bravo,"Action,                                                                                                    Drama,                                                                                                    Western ","April 4, 1959",8.1,93,Passed,Howard Hawks
139.,Brother's Keeper,"Mystery,                                                                                                    Crime,                                                                                                    Documentary ","September 9, 1992",7.0,93,Not Rated,Bruce Sinofsky
140.,Sankofa,Drama ,"May 28, 1993",,93,Not Rated,Haile Gerima
141.,Crumb,"Biography,                                                                                                    Documentary ","April 28, 1995",8.4,93,R,Terry Zwigoff
142.,Spotlight,"Biography,                                                                                                    Drama,                                                                                                    History,                                                                                                    Thriller ","November 6, 2015",8.2,93,R,Thomas McCarthy
143.,The Band Wagon,"Comedy,                                                                                                    Romance,                                                                                                    Musical ","August 7, 1953",,93,Passed,Vincente Minnelli
144.,One More Time with Feeling,"Music,                                                                                                    Documentary ","September 8, 2016",7.8,92,Not Rated,Andrew Dominik
145.,Ride the High Country,"Drama,                                                                                                    Western ","May 9, 1962",,92,Approved,Sam Peckinpah
146.,The Diving Bell and the Butterfly,"Biography,                                                                                                    Drama ","November 30, 2007",8.3,92,PG-13,Julian Schnabel
147.,Invasion of the Body Snatchers,"Sci-Fi,                                                                                                    Drama,                                                                                                    Horror ","February 5, 1956",7.9,92,Approved,Don Siegel
148.,Mr. Bachmann and His Class,Documentary ,"February 20, 2022",7.0,92,Not Rated,Maria Speth
149.,The Class,Drama ,"December 19, 2008",7.4,92,PG-13,Laurent Cantet
150.,Platoon,"Drama,                                                                                                    War ","December 19, 1986",8.0,92,R,Oliver Stone
151.,35 Shots of Rum,Drama ,"September 16, 2009",6.3,92,Not Rated,Claire Denis
152.,Apocalypse Now: Final Cut,"Drama,                                                                                                    Mystery,                                                                                                    War ","August 15, 2019",7.7,92,Not Rated,Francis Ford Coppola
153.,Chinatown,"Drama,                                                                                                    Mystery,                                                                                                    Thriller,                                                                                                    Crime ","June 20, 1974",8.7,92,R,Roman Polanski
154.,The Florida Project,Drama ,"October 6, 2017",7.4,92,Not Rated,Sean Baker
155.,Timbuktu,Drama ,"January 28, 2015",7.3,92,Not Rated,Abderrahmane Sissako
156.,Frenzy,Thriller ,"June 21, 1972",7.5,92,TV-14,Alfred Hitchcock
157.,Brief Encounter,"Drama,                                                                                                    Romance ","August 24, 1946",7.6,92,Approved,David Lean
158.,No Country for Old Men,"Drama,                                                                                                    Thriller,                                                                                                    Crime,                                                                                                    Western ","November 9, 2007",7.9,92,R,Ethan Coen
159.,Cool Hand Luke,"Drama,                                                                                                    Crime ","November 1, 1967",8.6,92,PG,Stuart Rosenberg
160.,Little Women,"Drama,                                                                                                    Romance,                                                                                                    Family ","November 24, 1933",,92,Approved,George Cukor
161.,Maborosi,Drama ,"March 21, 1997",7.8,92,Not Rated,Hirokazu Koreeda
162.,Top Hat,"Comedy,                                                                                                    Romance,                                                                                                    Musical ","September 6, 1935",7.3,92,TV-G,Mark Sandrich
163.,Apocalypse Now Redux,"Action,                                                                                                    Drama,                                                                                                    War ","August 3, 2001",7.9,92,R,Francis Ford Coppola
164.,Nomadland,Drama ,"December 4, 2020",7.2,92,R,Chloé Zhao
165.,Never Rarely Sometimes Always,Drama ,"March 13, 2020",,92,Not Rated,Eliza Hittman
166.,Annie Hall,"Drama,                                                                                                    Comedy,                                                                                                    Romance ","April 20, 1977",6.6,92,PG,Woody Allen
167.,The Lord of the Rings: The Fellowship of the Ring,"Action,                                                                                                    Adventure,                                                                                                    Fantasy ","December 19, 2001",9.0,92,PG-13,Peter Jackson
168.,Quiz Show,"Drama,                                                                                                    History ","September 14, 1994",8.5,92,PG-13,Robert Redford
169.,Leviathan,Drama ,"December 25, 2014",7.3,92,Not Rated,Andrei Zvyagintsev
170.,Werckmeister Harmonies,"Sci-Fi,                                                                                                    Drama,                                                                                                    Mystery,                                                                                                    Thriller,                                                                                                    Horror,                                                                                                    Crime ","October 10, 2001",7.6,92,,Ágnes Hranitzky
171.,Toy Story 3,"Adventure,                                                                                                    Fantasy,                                                                                                    Comedy,                                                                                                    Animation,                                                                                                    Family ","June 18, 2010",8.9,92,G,Lee Unkrich
172.,The Souvenir,"Drama,                                                                                                    Mystery,                                                                                                    Romance ","May 17, 2019",6.3,92,Not Rated,Joanna Hogg
173.,This Is Spinal Tap,"Comedy,                                                                                                    Music ","March 2, 1984",8.1,92,R,Rob Reiner
174.,The Look of Silence,Documentary ,"July 17, 2015",8.2,92,PG-13,Joshua Oppenheimer
175.,Tower,"History,                                                                                                    Crime,                                                                                                    Animation,                                                                                                    Documentary ","October 12, 2016",8.0,92,Not Rated,Keith Maitland
176.,Drive My Car,Drama ,"November 24, 2021",7.4,91,Not Rated,Ryûsuke Hamaguchi
177.,Moolaadé,Drama ,"October 15, 2004",7.9,91,Unrated,Ousmane Sembene
178.,Atanarjuat: The Fast Runner,"Drama,                                                                                                    Fantasy ","June 7, 2002",8.1,91,R,Zacharias Kunuk
179.,Ikiru,Drama ,"March 25, 1956",8.6,91,Not Rated,Akira Kurosawa
180.,Time,Documentary ,"October 9, 2020",,91,PG-13,Garrett Bradley
181.,Gavagai,Drama ,"August 3, 2018",,91,Not Rated,Rob Tregenza
182.,The Man Who Would Be King,Adventure ,"December 16, 1975",7.0,91,PG,John Huston
183.,The Killing,"Drama,                                                                                                    Thriller,                                                                                                    Crime,                                                                                                    Film-Noir ","June 6, 1956",7.7,91,TV-PG,Stanley Kubrick
184.,Swing Time,"Comedy,                                                                                                    Romance,                                                                                                    Musical ","August 28, 1936",6.3,91,TV-G,George Stevens
185.,Breaking Away,"Drama,                                                                                                    Sport,                                                                                                    Comedy,                                                                                                    Romance ","July 20, 1979",8.4,91,PG,Peter Yates
186.,After Life,"Drama,                                                                                                    Fantasy ","May 12, 1999",6.5,91,Not Rated,Hirokazu Koreeda
187.,Son of Saul,"Drama,                                                                                                    History,                                                                                                    Thriller,                                                                                                    Horror,                                                                                                    War ","December 18, 2015",7.3,91,R,László Nemes
188.,Love Affair,"Drama,                                                                                                    Comedy,                                                                                                    Romance ","April 7, 1939",6.6,91,TV-G,Leo McCarey
189.,Frankenstein,"Sci-Fi,                                                                                                    Drama,                                                                                                    Horror ","November 21, 1931",8.2,91,Passed,James Whale
190.,8½,Drama ,"June 24, 1963",7.7,91,Not Rated,Federico Fellini
191.,Little Women,"Drama,                                                                                                    Romance ","December 25, 2019",7.5,91,PG,Greta Gerwig
192.,E.T. The Extra-Terrestrial,"Adventure,                                                                                                    Sci-Fi,                                                                                                    Drama,                                                                                                    Fantasy,                                                                                                    Family ","June 11, 1982",8.2,91,PG,Steven Spielberg
193.,The African Queen,"Adventure,                                                                                                    Drama,                                                                                                    Romance,                                                                                                    War ","March 21, 1952",7.4,91,Passed,John Huston
194.,The Triplets of Belleville,"Adventure,                                                                                                    Comedy,                                                                                                    Music,                                                                                                    Animation ","November 26, 2003",7.7,91,PG-13,Sylvain Chomet
195.,The Queen,"Biography,                                                                                                    Drama ","September 30, 2006",6.7,91,PG-13,Stephen Frears
196.,Flee,"Biography,                                                                                                    Drama,                                                                                                    Animation,                                                                                                    Documentary ","December 3, 2021",7.6,91,PG-13,Jonas Poher Rasmussen
197.,All Quiet on the Western Front,"Drama,                                                                                                    War ","August 24, 1930",8.5,91,TV-PG,Lewis Milestone
198.,EX LIBRIS: The New York Public Library,Documentary ,"September 13, 2017",7.7,91,Not Rated,Frederick Wiseman
199.,A Bread Factory Part Two: Walk With Me a While,"Drama,                                                                                                    Comedy ","October 26, 2018",,91,Not Rated,Patrick Wang
200.,The Ladykillers,"Comedy,                                                                                                    Crime ","February 20, 1956",7.7,91,Not Rated,Alexander Mackendrick
201.,Young Mr. Lincoln,"Biography,                                                                                                    Drama ","June 9, 1939",8.0,91,Approved,John Ford
202.,Stories We Tell,Documentary ,"May 10, 2013",8.2,91,PG-13,Sarah Polley
203.,A Bread Factory Part One: For the Sake of Gold,"Drama,                                                                                                    Comedy ","October 26, 2018",8.0,91,,Patrick Wang
204.,The Act of Killing,"History,                                                                                                    Crime,                                                                                                    Documentary ","July 19, 2013",8.4,91,Not Rated,Anonymous
205.,On the Waterfront,"Drama,                                                                                                    Romance,                                                                                                    Crime ","July 28, 1954",8.7,91,Approved,Elia Kazan
206.,Jafar Panahi's Taxi,"Drama,                                                                                                    Comedy ","October 2, 2015",7.0,91,Not Rated,Jafar Panahi
207.,Ida,Drama ,"May 2, 2014",7.5,91,PG-13,Pawel Pawlikowski
208.,Beau Travail,Drama ,"March 31, 2000",7.5,91,Not Rated,Claire Denis
209.,Her,"Sci-Fi,                                                                                                    Drama,                                                                                                    Comedy,                                                                                                    Romance ","December 18, 2013",8.6,91,R,Spike Jonze
210.,Uncut Gems,"Drama,                                                                                                    Mystery,                                                                                                    Thriller,                                                                                                    Comedy,                                                                                                    Crime ","December 13, 2019",7.2,91,R,Ben Safdie
211.,Waltz with Bashir,"Biography,                                                                                                    Drama,                                                                                                    War,                                                                                                    Animation ","December 25, 2008",7.9,91,R,Ari Folman
212.,"This Is Not a Burial, It's a Resurrection",Drama ,"April 2, 2021",6.2,91,Not Rated,Lemohang Jeremiah Mosese
213.,They Shall Not Grow Old,"History,                                                                                                    War,                                                                                                    Documentary ","December 17, 2018",8.5,91,Not Rated,Peter Jackson
214.,Secrets & Lies,"Drama,                                                                                                    Comedy ","September 27, 1996",8.2,91,R,Mike Leigh
215.,Memoria,"Sci-Fi,                                                                                                    Drama ","December 26, 2021",,91,Not Rated,Apichatpong Weerasethakul
216.,An Autumn Afternoon,Drama ,"May 20, 1964",,91,Not Rated,Yasujiro Ozu
217.,Patton,"Biography,                                                                                                    Drama,                                                                                                    War ","February 18, 1970",8.3,91,M,Franklin J. Schaffner
218.,The Favourite,"Biography,                                                                                                    Drama,                                                                                                    History,                                                                                                    Comedy ","November 23, 2018",7.7,91,R,Giorgos Lanthimos
219.,The Sweet Hereafter,Drama ,"November 21, 1997",8.0,91,TV-MA,Atom Egoyan
220.,TÁR,"Drama,                                                                                                    Music ","October 7, 2022",8.0,91,Not Rated,Todd Field
221.,The Right Stuff,"Adventure,                                                                                                    Biography,                                                                                                    Drama,                                                                                                    History ","October 21, 1983",8.1,91,PG,Philip Kaufman
222.,Bambi,"Drama,                                                                                                    Animation,                                                                                                    Family ","August 21, 1942",7.7,91,Approved,Bill Roberts
